poblacion0
Neuronas  |  Capas  |  Epocas | Learning Rate | Momentum | Accuracy
    1     |    1    |     0   |      0.11     |   0.02   | 99.9947
    1     |    1    |     0   |      0.11     |   0.17   | 99.9933
    1     |    1    |     0   |      0.11     |   0.14   | 99.992
    1     |    1    |     0   |      0.11     |   0.11   | 99.9913
    1     |    1    |     0   |      0.11     |   0.05   | 99.99
    1     |    1    |     0   |      0.11     |   0.01   | 99.988
    1     |    1    |     0   |      0.08	    |	  0.2	   |99.986
    10    |    3    |     0   |      0.11	    |	  0.2	   |99.984
    10    |    3    |     10  |      0.2	    |	  0.2	   |99.9827
    10    |    3    |     20  |      0.14	    |	  0.2	   |99.982
    10    |    3    |     0   |      0.02	    |	  0.17   |99.9813
    10    |    3    |     20  |	 0.02	    |	  0.17   |99.9807
    1     |    1    |     0   |	 0.17	    |	  0.2    |99.98
    1     |    1    |     0   |	 0.2	    |	  0.2   |99.9773
    8     |    3    |     0   |	 0.2	    |	  0.2    |99.972


